"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"TRAV17","OK",0.028337821345312,1.90580397763031,0.00671734396771719,"TRAV17",0.0371410573522133
"TRAV19","OK",0.0662732771566269,1.5041352162551,0.00523788938994202,"TRAV19",0.0846461515907773
"TRAV20","OK",0.631703721320324,-0.336369087519419,-0.00130312716032829,"TRAV20",0.647212747992064
"TRAV22","OK",0.652821971942707,-0.392950480643014,-0.001467356894167,"TRAV22",0.665058812036798
"TRAV23DV6","OK",3.52643203574204e-06,4.49208687409959,0.0154054140845706,"TRAV23DV6",5.44941454171886e-06
"TRDV1","OK",1.4543678868883e-13,7.29855547466042,0.0258964066655386,"TRDV1",2.69549933542358e-13
"TRAV24","OK",0.644404854438544,-0.370257964458163,-0.00138863386423402,"TRAV24",0.657951360671385
"TRAV25","OK",0.00162073264740331,2.94386006013581,0.0103194894008158,"TRAV25",0.00227058664142622
"TRAV26-1","OK",0.383757867888055,0.295625973504786,0.000935892474900488,"TRAV26-1",0.459751825860194
"TRAV27","OK",0.555529791050161,-0.139645083768186,-0.00060343488410259,"TRAV27",0.596711146101679
"TRAV29DV5","OK",0.283777482952116,0.571656122349882,0.00192033983087412,"TRAV29DV5",0.344478735058091
"TRAV30","OK",0.658471912901039,-0.408296274353413,-0.00149593279267795,"TRAV30",0.670124484434449
"TRAV36DV7","OK",2.17768592774704e-08,5.47580089729942,0.0194098284240831,"TRAV36DV7",3.59609020940064e-08
"TRAV38-1","OK",9.10125323788584e-07,4.77242039227939,0.0159956182326203,"TRAV38-1",1.43237941770164e-06
"TRAV38-2DV8","OK",0.103226947240441,1.26337653049859,0.00430780936637738,"TRAV38-2DV8",0.129973185925257
"TRAV39","OK",0.535479855307833,-0.0890523709845007,-0.000379644607090244,"TRAV39",0.594145667571509
"TRAV41","OK",0.680846709320218,-0.470067796113346,-0.00174188299720441,"TRAV41",0.689666689732815
"TRDV2","OK",0.602070246758464,-0.258709347896398,-0.000981128778927449,"TRDV2",0.624114347447585
"TRDC","OK",0,164.574588428741,0.592368437203096,"TRDC",0
"TRDV3","OK",0.644886827649463,-0.371552118358463,-0.00137403536404647,"TRDV3",0.658263046870096
"TRAC","OK",0,200.573856214683,0.722302207763197,"TRAC",0
"LINC02332","OK",0.255471033301553,0.657371508991149,0.00215320864619945,"LINC02332",0.311301721700315
"AC243965.1","OK",0.00456036713476434,2.60749522466225,0.00918925223611768,"AC243965.1",0.00624949730029391
"DAD1","OK",0,42.2299079457189,0.151986784137358,"DAD1",0
"ABHD4","OK",1.04434825094727e-06,4.74464758427504,0.0169372550797683,"ABHD4",1.64049082487612e-06
"OXA1L","OK",6.7593259518565e-27,10.6736651171806,0.0383224133780261,"OXA1L",1.52526229389275e-26
"SLC7A7","OK",0,75.7086165188973,0.272250938056276,"SLC7A7",0
