	log2FoldChange	fdr
ZNF555	-2.02263956671793	0.016134413512189
LINC01238	-2.01441905991296	1
RGL1	-2.01441905991296	1
AC006033.2	-1.99205124688451	0.15192706284982
NANP	-1.99205124688451	1
AC004832.6	-1.99205124688451	1
NHSL2	-1.99205124688451	0.890967819138267
SMARCA1	-1.99205124688451	1
NCAM1	-1.98199758222059	1
TRAV13-1	-1.97628393102619	1
ALDH5A1	-1.97628393102619	1
TCF4	-1.9666659284646	1
PLOD2	-1.95552537085939	1
GPRASP1	-1.95552537085939	0.736647702133437
FAM185A	-1.95552537085939	1
MEX3D	-1.95552537085939	1
RASGRF2	-1.95552537085939	1
FKBP9	-1.95552537085939	0.261711570023043
CYBRD1	-1.95552537085939	1
LAMB2	-1.95552537085939	1
TSPAN15	-1.95552537085939	0.258102530069168
AC015819.2	-1.95552537085939	1
NRP1	-1.95552537085939	1
MAP3K21	-1.95552537085939	1
BCL7A	-1.95552537085939	1
CDKN1C	-1.92695621866262	1
NLRP3	-1.92197281114837	1
CCL4L2	-1.9129199957238	0.614520700388749
METAP1D	-1.885136042968	1
ALDH7A1	-1.885136042968	1
AL159169.2	-1.885136042968	1
CUBN	-1.885136042968	1
CDC42BPB	-1.885136042968	1
TRBV20-1	-1.885136042968	1
BCL2L2	-1.885136042968	1
LINC01970	-1.885136042968	1
SPAG8	-1.885136042968	1
TGM2	-1.885136042968	1
OLFML3	-1.885136042968	1
CDC42EP4	-1.885136042968	0.136001849732714
PNMA3	-1.885136042968	1
NKD1	-1.885136042968	1
MAP1A	-1.885136042968	1
FSCN1	-1.885136042968	0.017444992583407
OPRM1	-1.885136042968	0.019321886123182
FAM110B	-1.885136042968	6.9242527798756E-06
ISPD	-1.885136042968	1
NTRK2	-1.885136042968	1
BTBD19	-1.885136042968	7.84498937467887E-05
FAM234B	-1.885136042968	1
GPR141	-1.885136042968	0.451744447815193
AC092587.1	-1.885136042968	1
CTGF	-1.86652036480065	1
SERPINF1	-1.86241596646792	1
FOXD1	-1.85598969730848	1
ZNF532	-1.84449405847065	1
PCF11-AS1	-1.83450996989803	1
RGPD2	-1.83450996989803	1
FHL2	-1.81802184710946	1
CCDC122	-1.81802184710946	1
SMKR1	-1.79940616894211	1
CD302	-1.79940616894211	1
DNAJA4	-1.79848166071382	1
SSBP2	-1.79437057904481	1
SH2D4A	-1.78560036941708	0.860085755983216
ZNF713	-1.78560036941708	1
FGR	-1.76649154646938	1
USP30	-1.76649154646938	0.551320640383193
TRBV6-2	-1.76649154646938	1
S1PR5	-1.75389150968974	1
EPAS1	-1.75389150968974	0.346438296263153
HLA-DQA2	-1.7321400416786	1
COL5A2	-1.72901684105071	1
FRMD4A	-1.71673851127228	0.425716336720553
MYADM	-1.71305228750792	0.127680236398303
CCNJ	-1.6924909650256	0.714835669209018
TJP2	-1.6924909650256	1
FZD3	-1.6924909650256	1
FAM171A1	-1.6924909650256	1
FP565260.6	-1.6924909650256	1
NCAPH	-1.6924909650256	1
LAMC1	-1.6924909650256	1
BLK	-1.6924909650256	1
KCNJ14	-1.6924909650256	1
HSPA2	-1.6924909650256	1
RARRES1	-1.6924909650256	1
