	log2FoldChange	fdr
CHST11	-0.976938093136774	1
CD226	-0.976938093136774	1
CBX3	-0.975569961179442	1
JTB	-0.975569961179442	1
LARP7	-0.974657151885536	1
APBB1IP	-0.973515327495985	1
NOP10	-0.972372598690982	1
HSPE1	-0.972045938428999	1
SIRT7	-0.970084422095711	1
GON4L	-0.970084422095711	1
CLTC	-0.970084422095711	1
ADGRG1	-0.970084422095711	1
C6orf62	-0.965497152600062	1
TMX1	-0.963198036510474	1
SUN2	-0.963198036510474	1
RBM17	-0.963198036510474	1
ATP5O	-0.959742477874253	1
LY6E	-0.95709439586971	1
SH2D2A	-0.956278622570683	1
DERL1	-0.956278622570683	1
PHPT1	-0.952806430663878	1
CCNDBP1	-0.951647173839036	1
SLIRP	-0.951647173839036	1
SREK1IP1	-0.949325861928914	1
AGTRAP	-0.949325861928914	1
SRM	-0.949325861928914	1
ANP32E	-0.942339431612809	1
POLE4	-0.942339431612809	1
C6orf48	-0.942339431612809	1
AIP	-0.935319003935035	1
NDUFC1	-0.935319003935035	1
RASAL3	-0.935319003935035	1
EXOSC1	-0.935319003935035	1
SMIM7	-0.935319003935035	1
SNF8	-0.935319003935035	1
PTK2B	-0.935319003935035	1
VAMP8	-0.932971249078614	1
TRGC2	-0.931795937371339	1
TPI1	-0.931403953931651	1
CORO1A	-0.928264246401086	1
TIPRL	-0.928264246401086	1
DENR	-0.928264246401086	1
SUPT16H	-0.928264246401086	1
CALM2	-0.925117691084221	1
APH1A	-0.921174821614767	1
TMBIM4	-0.914050387181384	1
SRP54	-0.914050387181384	1
LCP2	-0.911190733042143	1
ACP5	-0.910474932957556	1
UBE2F	-0.910474932957556	1
NOL7	-0.910474932957556	1
CYBA	-0.908778198966754	1
TIGIT	-0.90868387743157	1
MAF1	-0.906890595608519	1
PSMB3	-0.904496080468136	1
IL2RB	-0.903811202676548	1
MRPS7	-0.899695094204315	1
PSMF1	-0.899695094204315	1
TRADD	-0.899695094204315	1
MESD	-0.899695094204315	1
S100A4	-0.898029484966904	1
LUC7L3	-0.896806814879488	1
PARP14	-0.896083840651936	1
ITGAE	-0.896083840651936	1
JAML	-0.896083840651936	1
BIN1	-0.894878077906539	1
RBM8A	-0.893912741610309	1
MRPL28	-0.89246352497324	1
CDKN2A	-0.89246352497324	1
TNFRSF14	-0.89246352497324	1
PSMB9	-0.891183594348797	1
IDH2	-0.885195524509201	1
GPR65	-0.885195524509201	1
SMAP2	-0.885195524509201	1
RAC2	-0.88398062335034	1
IFI16	-0.881547747494056	1
HLA-A	-0.878246181310311	1
EMC6	-0.877890723885967	1
S1PR4	-0.877890723885967	1
FAM45A	-0.877890723885967	1
HMGB1	-0.874872081240439	1
BRD2	-0.870548748544798	1
CELF1	-0.870548748544798	1
PTMA	-0.867099198928349	1
COX7B	-0.8631692181792	1
CSNK1D	-0.8631692181792	1
GTF2H5	-0.8631692181792	1
MAP2K3	-0.8631692181792	1
ETS1	-0.859994970384056	1
RSRC2	-0.859465249415781	1
PLA2G16	-0.859465249415781	1
ATP5G2	-0.85723829496142	1
XRN2	-0.855751746616717	1
PRDX1	-0.855751746616717	1
CSK	-0.855751746616717	1
BAG1	-0.855751746616717	1
C14orf119	-0.855751746616717	1
MT-ND3	-0.852723524324097	1
CCT8	-0.852028660574001	1
DDX60	-0.852028660574001	1
SERBP1	-0.850163508354436	1
LSM5	-0.84829594169767	1
PPCS	-0.84829594169767	1
PLEKHF1	-0.84829594169767	1
ANKRD28	-0.84829594169767	1
UBXN1	-0.84680014577219	1
TEX264	-0.840801405150747	1
RAB18	-0.840801405150747	1
TMEM14C	-0.840801405150747	1
POLR2E	-0.840801405150747	1
BCL11B	-0.840801405150747	1
LENG8	-0.833267732465338	1
