"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ZNF276","OK",1.63232941587468e-05,4.15417316260862,0.0246994547240443,"ZNF276",0.000133208402051211
"FANCA","OK",0.0127807516985806,2.23280959316758,0.0131490697954355,"FANCA",0.0557455354135692
"SPIRE2","OK",0.66601584626959,-0.428938051789291,-0.00266053712650017,"SPIRE2",0.77769066948339
"TCF25","OK",0.23085813394766,0.736023711260901,0.00417244461150958,"TCF25",0.51185108666777
"MC1R","OK",0.0688807317887179,1.48417890884493,0.00833124790287001,"MC1R",0.216859797524071
"TUBB3","OK",0.533113278368142,-0.0830982173882608,-0.000582534373350049,"TUBB3",0.764040682511283
"DEF8","OK",0.469762938201888,0.0758657870011592,0.000205948025558173,"DEF8",0.764040682511283
"CENPBD1","OK",0.712780518220878,-0.561526069571652,-0.0035706302141461,"CENPBD1",0.797504370104813
"DBNDD1","OK",0.534882397871864,-0.0875489173359404,-0.000590939879386611,"DBNDD1",0.764040682511283
"GAS8","OK",0.124152873083735,1.154474355974,0.00647775346293528,"GAS8",0.335038145459833
"FAM157C","OK",0.0631220987899659,1.52908167502819,0.00881919664445063,"FAM157C",0.203207191095519
"AC133919.1","OK",0.00329707748745254,2.71667386771864,0.0144545529359556,"AC133919.1",0.0170699226890013
"AC133919.2","FAIL",NA,NA,NA,"AC133919.2",1
"LINC02193","OK",0.804469921362129,-0.85769634776371,-0.00527523775739458,"LINC02193",0.852691227418079
"AC240565.2","OK",0.530014451328199,-0.0753061890176366,-0.000564116696876356,"AC240565.2",0.764040682511283
"AC240565.1","OK",0.540106160526667,-0.100701174566044,-0.000740277113237778,"AC240565.1",0.764040682511283
"SCGB1C2","FAIL",NA,NA,NA,"SCGB1C2",1
"DOC2B","OK",0.546969146103388,-0.118007509434448,-0.000822432177129517,"DOC2B",0.764040682511283
"RPH3AL","OK",0.215132086334621,0.788739677279899,0.0043807705412454,"RPH3AL",0.488196083042106
"C17orf97","OK",0.828944931477243,-0.950004163550915,-0.00582482193941515,"C17orf97",0.869425527644561
