"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"DSG1","OK",0.521106094407089,-0.0529298370452965,-0.00022405677862758,"DSG1",0.592612854312177
"NOL4","OK",0.479481401882817,0.0514551949620943,-6.45014234498518e-05,"NOL4",0.569187043983717
"AC007998.3","OK",0.357577753028885,0.364940922591973,0.000970423745084764,"AC007998.3",0.430948709740444
"AC007998.2","OK",0.557049516517764,-0.143492838255955,-0.000440772262475614,"AC007998.2",0.59729274884835
"LINC01902","OK",NA,NA,-6.37711508307986e-05,"LINC01902",NA
"KC6","OK",0.588240176578875,-0.223020377614502,-0.000712116596386129,"KC6",0.61429551675057
"LINC01929","OK",0,77.1308318931613,0.247770376306277,"LINC01929",0
"LINC01926","OK",0.527681810657362,-0.0694437836715806,-0.000299155580897886,"LINC01926",0.592612854312177
"GRP","OK",0,53.4228544210381,0.171328024530182,"GRP",0
"AC105094.1","FAIL",NA,NA,NA,"AC105094.1",1
"LINC01544","OK",0.530361474355381,-0.0761785455051577,-0.000252819585548662,"LINC01544",0.592612854312177
"LINC01910","OK",0.518012326234068,-0.0451655572768495,-0.000172902426137021,"LINC01910",0.592612854312177
"LINC01541","OK",1.09192267517775e-20,9.25294807277092,0.0290982672855827,"LINC01541",2.29752157603176e-20
"AC116003.3","FAIL",NA,NA,NA,"AC116003.3",1
"AC124254.1","OK",0.558723246098615,-0.14773297383086,-0.000514112766837107,"AC124254.1",0.597892803572916
"TGM3","OK",0.509708616415861,-0.0243382950108003,-0.000141972601585553,"TGM3",0.592612854312177
"ADRA1D","OK",3.52342758063668e-37,12.6862631313563,0.0392440812837322,"ADRA1D",8.96596688943396e-37
"AL161938.1","OK",0.0101636108235219,2.32025250740402,0.00717795014163259,"AL161938.1",0.013734445399515
